Code_commune,COM,NotePop,NoteSanté,NoteRestauration,NoteServicePubl,NoteService,NoteTransport,NoteActivités,NoteCouv,NotePrix
01140,Curtafond,2,2,2,1,4,2,4,5,3
01140,Curtafond,2,2,2,1,4,2,4,5,3
01141,Cuzieu,1,2,1,1,4,1,2,1,3
01141,Cuzieu,1,2,1,1,4,1,2,1,4
01142,Dagneux,3,5,4,1,5,5,4,2,5
01142,Dagneux,3,5,4,1,5,5,4,2,2
01143,Divonne-les-Bains,4,5,5,2,5,5,5,3,4
01143,Divonne-les-Bains,4,5,5,2,5,5,5,3,4
01145,Dompierre-sur-Veyle,3,2,1,1,5,4,4,3,4
01145,Dompierre-sur-Veyle,3,2,1,1,5,4,4,3,2
01146,Dompierre-sur-Chalaronne,1,1,1,1,4,1,2,5,4
01146,Dompierre-sur-Chalaronne,1,1,1,1,4,1,2,5,4
01147,Domsure,1,3,2,1,4,2,4,4,2
01147,Domsure,1,3,2,1,4,2,4,4,1
01148,Dortan,3,4,4,1,5,4,4,1,4
01148,Dortan,3,4,4,1,5,4,4,1,2
01149,Douvres,3,1,1,1,4,3,4,1,4
01149,Douvres,3,1,1,1,4,3,4,1,4
01150,Drom,1,1,1,1,2,2,4,5,4
01151,Druillat,3,1,4,1,4,4,4,4,3
01151,Druillat,3,1,4,1,4,4,4,4,4
01152,Échallon,2,1,2,1,4,4,4,5,4
01152,Échallon,2,1,2,1,4,4,4,5,2
01153,Échenevex,3,1,4,1,5,2,4,5,4
01153,Échenevex,3,1,4,1,5,2,4,5,4
01155,Évosges,1,1,3,1,4,2,3,5,1
01155,Évosges,1,1,3,1,4,2,3,5,2
01156,Faramans,2,1,4,1,4,2,4,5,4
01156,Faramans,2,1,4,1,4,2,4,5,1
01157,Fareins,3,5,4,1,5,4,4,1,4
01158,Farges,3,1,1,1,3,2,2,4,4
01158,Farges,3,1,1,1,3,2,2,4,4
01159,Feillens,3,5,4,1,5,5,4,3,4
01159,Feillens,3,5,4,1,5,5,4,3,3
01160,Ferney-Voltaire,4,5,5,1,5,5,4,4,5
01162,Flaxieu,1,1,1,1,2,2,1,4,2
01163,Foissiat,3,4,4,1,5,4,4,1,3
01163,Foissiat,3,4,4,1,5,4,4,1,3
01165,Francheleins,3,1,3,1,5,4,4,5,4
01165,Francheleins,3,1,3,1,5,4,4,5,1
01166,Frans,3,4,2,1,5,3,4,1,4
01166,Frans,3,4,2,1,5,3,4,1,2
01167,Garnerans,2,2,2,1,4,2,4,5,4
01167,Garnerans,2,2,2,1,4,2,4,5,4
01169,Genouilleux,2,1,1,1,4,2,2,5,4
01169,Genouilleux,2,1,1,1,4,2,2,5,4
01170,Béard-Géovreissiat,3,3,3,1,4,2,3,5,3
01170,Béard-Géovreissiat,3,3,3,1,4,2,3,5,3
01171,Géovreisset,2,1,1,1,4,3,3,1,3
01171,Géovreisset,2,1,1,1,4,3,3,1,1
01173,Gex,5,5,5,4,5,5,5,4,4
01174,Giron,1,1,1,1,4,2,3,4,4
01174,Giron,1,1,1,1,4,2,3,4,3
01175,Gorrevod,2,1,2,1,4,3,4,4,3
01175,Gorrevod,2,1,2,1,4,3,4,4,4
01177,Grand-Corent,1,1,1,1,3,1,1,1,2
01179,Grièges,3,4,4,1,5,4,4,5,4
01179,Grièges,3,4,4,1,5,4,4,5,2
01180,Grilly,2,2,4,1,4,3,4,4,5
01180,Grilly,2,2,4,1,4,3,4,4,3
01181,Groissiat,3,2,1,1,4,4,4,5,3
01181,Groissiat,3,2,1,1,4,4,4,5,3
01183,Guéreins,3,4,1,1,5,4,4,2,4
01183,Guéreins,3,4,1,1,5,4,4,2,1
01184,Hautecourt-Romanèche,2,2,2,1,4,4,4,5,3
01184,Hautecourt-Romanèche,2,2,2,1,4,4,4,5,3
01185,Plateau d'Hauteville,4,5,4,4,5,5,5,2,4
01185,Plateau d'Hauteville,4,5,4,4,5,5,5,2,3
01187,Haut Valromey,2,1,4,1,4,4,4,2,1
01187,Haut Valromey,2,1,4,1,4,4,4,2,2
01188,Illiat,2,1,2,1,4,3,4,1,4
01188,Illiat,2,1,2,1,4,3,4,1,3
01189,Injoux-Génissiat,3,1,2,1,4,3,4,5,4
01189,Injoux-Génissiat,3,1,2,1,4,3,4,5,2
01190,Innimond,1,1,1,1,1,1,3,1,1
01190,Innimond,1,1,1,1,1,1,3,1,1
01191,Izenave,1,1,1,1,4,2,2,1,1
01192,Izernore,3,4,4,3,5,4,4,4,4
01192,Izernore,3,4,4,3,5,4,4,4,1
01193,Izieu,1,1,2,1,3,2,2,4,4
01193,Izieu,1,1,2,1,3,2,2,4,1
01194,Jassans-Riottier,4,5,4,2,5,5,5,1,4
01195,Jasseron,3,4,4,1,5,4,4,4,3
01195,Jasseron,3,4,4,1,5,4,4,4,2
01196,Jayat,3,2,3,1,5,4,4,1,3
01196,Jayat,3,2,3,1,5,4,4,1,1
01197,Journans,1,1,1,1,4,3,2,1,4
01198,Joyeux,1,1,2,1,2,2,3,5,3
01199,Jujurieux,3,4,3,1,5,4,4,1,3
01199,Jujurieux,3,4,3,1,5,4,4,1,2
01200,Labalme,1,1,2,1,3,2,4,1,1
01202,Lagnieu,4,5,5,2,5,5,5,2,4
01203,Laiz,3,1,1,2,5,4,4,1,4
01204,Le Poizat-Lalleyriat,2,1,4,1,4,4,4,4,4
01206,Lantenay,1,1,1,1,3,2,2,1,3
01207,Lapeyrouse,1,2,2,1,4,1,3,4,4
01209,Léaz,2,1,3,1,4,4,4,5,4
01210,Lélex,1,4,4,1,4,4,4,3,4
01210,Lélex,1,4,4,1,4,4,4,3,2
01211,Lent,3,4,4,1,4,4,4,3,3
01211,Lent,3,4,4,1,4,4,4,3,2
01212,Lescheroux,2,1,3,1,4,3,4,1,3
01212,Lescheroux,2,1,3,1,4,3,4,1,3
01213,Leyment,3,3,3,1,5,4,4,5,4
01213,Leyment,3,3,3,1,5,4,4,5,1
01214,Leyssard,1,1,1,1,3,1,1,5,4
01215,Surjoux-Lhopital,1,1,1,1,2,1,1,4,3
01215,Surjoux-Lhopital,1,1,1,1,2,1,1,4,1
01216,Lhuis,2,4,4,2,5,4,3,3,2
01216,Lhuis,2,4,4,2,5,4,3,3,2
01219,Lompnas,1,1,2,1,4,3,2,5,2
01219,Lompnas,1,1,2,1,4,3,2,5,1
01224,Loyettes,3,4,4,1,5,4,4,1,4
01225,Lurcy,1,1,2,1,4,1,1,1,4
01225,Lurcy,1,1,2,1,4,1,1,1,1
01227,Magnieu,2,1,1,1,4,1,3,5,3
01227,Magnieu,2,1,1,1,4,1,3,5,2
01228,Maillat,2,4,2,1,5,4,2,4,3
01228,Maillat,2,4,2,1,5,4,2,4,3
01229,Malafretaz,3,1,4,1,5,4,4,1,3
01229,Malafretaz,3,1,4,1,5,4,4,1,3
01230,Mantenay-Montlin,1,1,2,1,4,2,2,4,2
01230,Mantenay-Montlin,1,1,2,1,4,2,2,4,1
01231,Manziat,3,5,4,1,5,4,4,4,3
01231,Manziat,3,5,4,1,5,4,4,4,2
01232,Marboz,3,5,4,1,5,5,4,2,4
01232,Marboz,3,5,4,1,5,5,4,2,3
01233,Marchamp,1,1,1,1,1,1,2,5,2
01233,Marchamp,1,1,1,1,1,1,2,5,3
01234,Marignieu,1,1,1,1,4,1,1,5,2
01234,Marignieu,1,1,1,1,4,1,1,5,2
01235,Marlieux,3,4,3,1,5,4,4,1,3
01235,Marlieux,3,4,3,1,5,4,4,1,5
01236,Marsonnas,3,1,2,1,4,4,4,1,3
01236,Marsonnas,3,1,2,1,4,4,4,1,3
01237,Martignat,3,4,3,1,5,4,4,5,3
01237,Martignat,3,4,3,1,5,4,4,5,2
01238,Massieux,3,4,4,1,5,5,4,2,4
01238,Massieux,3,4,4,1,5,5,4,2,2
01239,Massignieu-de-Rives,2,1,3,1,5,4,4,1,4
01239,Massignieu-de-Rives,2,1,3,1,5,4,4,1,2
01240,Matafelon-Granges,2,2,1,1,4,3,2,1,3
01241,Meillonnas,3,4,3,1,5,4,4,5,4
01241,Meillonnas,3,4,3,1,5,4,4,5,4
01242,Mérignat,1,1,1,1,2,1,1,1,2
01243,Messimy-sur-Saône,3,2,1,1,5,4,4,1,4
01243,Messimy-sur-Saône,3,2,1,1,5,4,4,1,3
01244,Meximieux,4,5,5,4,5,5,5,1,4
01244,Meximieux,4,5,5,4,5,5,5,1,2
01245,Bohas-Meyriat-Rignat,2,1,3,1,4,3,4,4,2
01245,Bohas-Meyriat-Rignat,2,1,3,1,4,3,4,4,2
01246,Mézériat,3,5,4,1,5,4,4,1,4
01246,Mézériat,3,5,4,1,5,4,4,1,3
01247,Mijoux,1,3,4,1,5,4,4,3,4
01247,Mijoux,1,3,4,1,5,4,4,3,1
01248,Mionnay,3,5,4,1,5,4,4,4,4
01248,Mionnay,3,5,4,1,5,4,4,4,2
01249,Miribel,5,5,5,4,5,5,5,2,4
01249,Miribel,5,5,5,4,5,5,5,2,1
01250,Misérieux,3,3,2,1,5,4,4,4,4
01250,Misérieux,3,3,2,1,5,4,4,4,3
01252,Mogneneins,2,2,2,1,4,2,4,5,3
01252,Mogneneins,2,2,2,1,4,2,4,5,4
01254,Montagnat,3,4,4,1,5,4,4,5,4
01254,Montagnat,3,4,4,1,5,4,4,5,2
01255,Montagnieu,2,1,2,1,4,4,1,5,3
01255,Montagnieu,2,1,2,1,4,4,1,5,1
01257,Montanges,1,1,2,1,3,2,2,4,4
01257,Montanges,1,1,2,1,3,2,2,4,2
01258,Montceaux,3,4,2,1,5,4,4,5,4
01259,Montcet,2,1,1,1,4,3,3,4,4
01259,Montcet,2,1,1,1,4,3,3,4,2
01260,Le Montellier,1,1,1,1,4,2,3,5,3
01260,Le Montellier,1,1,1,1,4,2,3,5,1
01261,Monthieux,2,1,3,1,4,4,4,4,4
01261,Monthieux,2,1,3,1,4,4,4,4,3
01262,Montluel,4,5,5,4,5,5,5,2,4
01262,Montluel,4,5,5,4,5,5,5,2,1
01263,Montmerle-sur-Saône,3,5,4,2,5,5,4,2,4
01263,Montmerle-sur-Saône,3,5,4,2,5,5,4,2,3
01264,Montracol,3,4,3,1,4,3,4,1,4
01264,Montracol,3,4,3,1,4,3,4,1,1
01265,Montréal-la-Cluse,3,5,4,1,5,5,4,4,4
01265,Montréal-la-Cluse,3,5,4,1,5,5,4,4,2
01266,Montrevel-en-Bresse,3,5,4,3,5,5,4,1,4
01266,Montrevel-en-Bresse,3,5,4,3,5,5,4,1,4
01267,Nurieux-Volognat,3,1,3,1,4,4,4,4,4
01267,Nurieux-Volognat,3,1,3,1,4,4,4,4,2
01268,Murs-et-Gélignieux,1,3,3,1,4,1,3,1,3
01268,Murs-et-Gélignieux,1,3,3,1,4,1,3,1,2
01269,Nantua,3,5,4,4,5,5,5,2,4
01269,Nantua,3,5,4,4,5,5,5,2,2
01272,Neuville-les-Dames,3,4,4,1,5,4,4,1,3
01272,Neuville-les-Dames,3,4,4,1,5,4,4,1,1
01273,Neuville-sur-Ain,3,4,1,1,5,4,4,1,3
01273,Neuville-sur-Ain,3,4,1,1,5,4,4,1,2
01274,Les Neyrolles,2,2,3,1,4,3,4,4,3
01274,Les Neyrolles,2,2,3,1,4,3,4,4,2
01275,Neyron,3,5,4,1,5,4,4,1,4
01275,Neyron,3,5,4,1,5,4,4,1,2
01276,Niévroz,3,4,4,1,5,4,4,5,4
01276,Niévroz,3,4,4,1,5,4,4,5,3
01277,Nivollet-Montgriffon,1,1,1,1,3,1,1,5,1
01277,Nivollet-Montgriffon,1,1,1,1,3,1,1,5,2
01279,Oncieu,1,1,2,1,2,1,2,1,4
01279,Oncieu,1,1,2,1,2,1,2,1,3
01280,Ordonnaz,1,1,1,1,4,1,4,1,3
01280,Ordonnaz,1,1,1,1,4,1,4,1,2
01281,Ornex,3,4,4,2,5,4,4,4,4
01282,Outriaz,1,1,2,1,4,2,3,4,3
01282,Outriaz,1,1,2,1,4,2,3,4,3
01283,Oyonnax,5,5,5,4,5,5,5,4,4
01283,Oyonnax,5,5,5,4,5,5,5,4,2
01284,Ozan,2,2,2,1,5,4,4,5,4
01284,Ozan,2,2,2,1,5,4,4,5,3
01285,Parcieux,3,4,3,1,5,4,4,1,4
01285,Parcieux,3,4,3,1,5,4,4,1,2
01286,Parves et Nattages,2,1,2,1,4,4,4,1,4
01286,Parves et Nattages,2,1,2,1,4,4,4,1,2
01288,Péron,3,4,4,1,5,4,4,4,4
01288,Péron,3,4,4,1,5,4,4,4,1
01289,Péronnas,4,5,4,1,5,5,5,3,4
01289,Péronnas,4,5,4,1,5,5,5,3,2
01290,Pérouges,3,3,4,1,5,4,4,1,4
01290,Pérouges,3,3,4,1,5,4,4,1,4
01291,Perrex,2,1,3,1,4,3,4,4,3
01291,Perrex,2,1,3,1,4,3,4,4,2
01293,Peyriat,1,1,1,1,3,1,1,1,2
01293,Peyriat,1,1,1,1,3,1,1,1,3
01294,Peyrieu,2,3,3,1,5,4,4,1,4
01294,Peyrieu,2,3,3,1,5,4,4,1,3
01295,Peyzieux-sur-Saône,2,1,1,1,4,2,3,5,4
01295,Peyzieux-sur-Saône,2,1,1,1,4,2,3,5,2
01296,Pirajoux,1,1,2,1,4,1,1,5,3
01296,Pirajoux,1,1,2,1,4,1,1,5,4
01297,Pizay,2,1,4,1,4,3,3,5,4
01297,Pizay,2,1,4,1,4,3,3,5,3
01298,Plagne,1,1,1,1,4,1,1,4,3
01299,Le Plantay,2,1,2,1,4,4,4,5,4
01299,Le Plantay,2,1,2,1,4,4,4,5,4
01301,Polliat,3,4,4,1,5,4,4,3,4
01302,Pollieu,1,1,2,1,4,2,2,5,2
01303,Poncin,3,5,4,4,5,4,4,1,2
01304,Pont-d'Ain,3,5,4,3,5,5,4,1,3
01305,Pont-de-Vaux,3,5,5,2,5,5,4,1,4
01306,Pont-de-Veyle,3,5,4,3,5,5,4,1,3
01307,Port,2,4,4,1,5,4,4,4,3
01308,Pougny,2,1,1,1,4,3,4,4,4
01310,Prémeyzel,1,3,2,1,4,1,1,5,1
01310,Prémeyzel,1,3,2,1,4,1,1,5,4
01311,Prémillieu,1,1,1,1,2,1,1,1,3
01311,Prémillieu,1,1,1,1,2,1,1,1,4
01313,Prévessin-Moëns,4,5,5,1,5,5,5,5,4
01313,Prévessin-Moëns,4,5,5,1,5,5,5,5,4
01314,Priay,3,4,4,1,5,4,4,5,4
01314,Priay,3,4,4,1,5,4,4,5,5
01317,Ramasse,1,1,1,1,3,1,3,1,1
01317,Ramasse,1,1,1,1,3,1,3,1,4
01318,Rancé,2,1,2,1,5,2,4,5,4
01318,Rancé,2,1,2,1,5,2,4,5,4
01319,Relevant,1,1,1,1,4,4,4,5,4
01319,Relevant,1,1,1,1,4,4,4,5,4
01320,Replonges,3,5,4,1,5,5,4,2,4
01320,Replonges,3,5,4,1,5,5,4,2,4
01321,Revonnas,2,1,3,1,4,4,4,5,3
01321,Revonnas,2,1,3,1,4,4,4,5,4
01322,Reyrieux,3,5,4,1,5,5,5,2,4
01322,Reyrieux,3,5,4,1,5,5,5,2,5
01323,Reyssouze,2,1,2,1,5,3,4,5,3
01323,Reyssouze,2,1,2,1,5,3,4,5,4
01325,Rignieux-le-Franc,2,1,3,1,4,2,4,5,4
01325,Rignieux-le-Franc,2,1,3,1,4,2,4,5,4
01328,Romans,2,3,1,1,4,2,4,3,4
01328,Romans,2,3,1,1,4,2,4,3,4
01329,Rossillon,1,1,2,1,4,1,4,1,3
01329,Rossillon,1,1,2,1,4,1,4,1,4
01330,Ruffieu,1,3,1,1,4,1,1,1,1
01330,Ruffieu,1,3,1,1,4,1,1,1,5
01331,Saint-Alban,1,1,2,1,4,1,3,1,3
01331,Saint-Alban,1,1,2,1,4,1,3,1,4
01332,Saint-André-de-Bâgé,2,1,2,1,4,3,4,1,4
01332,Saint-André-de-Bâgé,2,1,2,1,4,3,4,1,4
01333,Saint-André-de-Corcy,3,5,4,2,5,5,5,2,4
01333,Saint-André-de-Corcy,3,5,4,2,5,5,5,2,4
01334,Saint-André-d'Huiriat,2,1,1,1,4,1,4,4,4
01334,Saint-André-d'Huiriat,2,1,1,1,4,1,4,4,4
01335,Saint-André-le-Bouchoux,1,1,3,1,3,2,4,5,4
01336,Saint-André-sur-Vieux-Jonc,3,3,4,1,4,4,4,5,2
01336,Saint-André-sur-Vieux-Jonc,3,3,4,1,4,4,4,5,4
01337,Saint-Bénigne,3,1,2,1,5,4,4,5,3
01337,Saint-Bénigne,3,1,2,1,5,4,4,5,4
01338,Groslée-Saint-Benoit,3,3,4,1,5,4,4,2,3
01338,Groslée-Saint-Benoit,3,3,4,1,5,4,4,2,4
01339,Saint-Bernard,3,4,3,1,5,4,4,5,4
01339,Saint-Bernard,3,4,3,1,5,4,4,5,5
01342,Sainte-Croix,2,1,4,1,4,4,4,5,4
01342,Sainte-Croix,2,1,4,1,4,4,4,5,4
01343,Saint-Cyr-sur-Menthon,3,4,4,1,5,4,4,5,3
01343,Saint-Cyr-sur-Menthon,3,4,4,1,5,4,4,5,4
01344,Saint-Denis-lès-Bourg,4,5,4,1,5,5,4,4,4
01344,Saint-Denis-lès-Bourg,4,5,4,1,5,5,4,4,4
01345,Saint-Denis-en-Bugey,3,4,4,1,5,4,4,1,4
01345,Saint-Denis-en-Bugey,3,4,4,1,5,4,4,1,4
01346,Saint-Didier-d'Aussiat,2,1,1,1,5,4,4,4,3
01346,Saint-Didier-d'Aussiat,2,1,1,1,5,4,4,4,4
01347,Saint-Didier-de-Formans,3,4,3,1,5,4,4,1,4
01347,Saint-Didier-de-Formans,3,4,3,1,5,4,4,1,5
01348,Saint-Didier-sur-Chalaronne,3,5,4,1,5,5,4,1,4
01348,Saint-Didier-sur-Chalaronne,3,5,4,1,5,5,4,1,4
01349,Saint-Éloi,1,1,1,1,4,4,4,5,4
01349,Saint-Éloi,1,1,1,1,4,4,4,5,4
01350,Saint-Étienne-du-Bois,3,5,4,1,5,5,4,5,4
01350,Saint-Étienne-du-Bois,3,5,4,1,5,5,4,5,4
01351,Saint-Étienne-sur-Chalaronne,3,4,3,1,5,4,4,1,3
01351,Saint-Étienne-sur-Chalaronne,3,4,3,1,5,4,4,1,4
01352,Saint-Étienne-sur-Reyssouze,2,1,1,1,4,3,4,1,2
01352,Saint-Étienne-sur-Reyssouze,2,1,1,1,4,3,4,1,4
01353,Sainte-Euphémie,3,3,4,1,5,4,4,5,4
01353,Sainte-Euphémie,3,3,4,1,5,4,4,5,4
01354,Saint-Genis-Pouilly,5,5,5,1,5,5,5,4,5
01354,Saint-Genis-Pouilly,5,5,5,1,5,5,5,4,5
01355,Saint-Genis-sur-Menthon,1,1,1,1,4,2,4,4,2
01356,Saint-Georges-sur-Renon,1,1,2,1,1,1,4,1,4
01356,Saint-Georges-sur-Renon,1,1,2,1,1,1,4,1,4
01357,Saint-Germain-de-Joux,2,2,1,1,4,3,4,4,2
01357,Saint-Germain-de-Joux,2,2,1,1,4,3,4,4,4
01358,Saint-Germain-les-Paroisses,1,1,1,1,4,2,1,4,3
01358,Saint-Germain-les-Paroisses,1,1,1,1,4,2,1,4,4
01359,Saint-Germain-sur-Renon,1,1,1,1,4,2,3,1,4
01359,Saint-Germain-sur-Renon,1,1,1,1,4,2,3,1,4
01360,Saint-Jean-de-Gonville,3,4,4,1,5,4,4,5,4
01360,Saint-Jean-de-Gonville,3,4,4,1,5,4,4,5,4
01361,Saint-Jean-de-Niost,3,4,2,1,5,4,4,5,4
01361,Saint-Jean-de-Niost,3,4,2,1,5,4,4,5,4
01362,Saint-Jean-de-Thurigneux,2,4,2,1,5,4,4,5,4
01362,Saint-Jean-de-Thurigneux,2,4,2,1,5,4,4,5,4
01363,Saint-Jean-le-Vieux,3,4,4,1,5,4,4,1,3
01363,Saint-Jean-le-Vieux,3,4,4,1,5,4,4,1,4
01364,Saint-Jean-sur-Reyssouze,2,1,3,1,4,4,3,4,3
01364,Saint-Jean-sur-Reyssouze,2,1,3,1,4,4,3,4,4
01365,Saint-Jean-sur-Veyle,3,1,4,1,4,4,4,4,3
01365,Saint-Jean-sur-Veyle,3,1,4,1,4,4,4,4,4
01366,Sainte-Julie,3,3,4,1,4,3,4,5,4
01366,Sainte-Julie,3,3,4,1,4,3,4,5,5
01367,Saint-Julien-sur-Reyssouze,2,4,1,1,4,4,4,1,2
01367,Saint-Julien-sur-Reyssouze,2,4,1,1,4,4,4,1,4
01368,Saint-Julien-sur-Veyle,2,2,1,1,4,3,4,5,4
01368,Saint-Julien-sur-Veyle,2,2,1,1,4,3,4,5,4
01369,Saint-Just,2,4,2,1,5,3,4,5,4
01369,Saint-Just,2,4,2,1,5,3,4,5,4
01370,Saint-Laurent-sur-Saône,3,5,5,4,5,4,4,4,4
01370,Saint-Laurent-sur-Saône,3,5,5,4,5,4,4,4,4
01371,Saint-Marcel,3,1,2,1,4,4,4,4,4
01371,Saint-Marcel,3,1,2,1,4,4,4,4,5
01372,Saint-Martin-de-Bavel,1,2,2,1,4,2,3,1,4
01372,Saint-Martin-de-Bavel,1,2,2,1,4,2,3,1,4
01373,Saint-Martin-du-Frêne,3,5,3,1,5,4,4,1,3
01373,Saint-Martin-du-Frêne,3,5,3,1,5,4,4,1,4
01374,Saint-Martin-du-Mont,3,1,2,1,5,4,4,1,3
